"","classcode","common_name","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_definition","taxonomic_source","taxonomic_id"
"429","SLUC","California Lizardfish","Animalia","Chordata","Actinopterygii","Aulopiformes","Synodontidae","Synodus","lucioceps","Synodus lucioceps","WoRMS","272132"
"431","SMAL","Quillback Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","maliger","Sebastes maliger","WoRMS","274815"
"433","SMAR","Cabezon","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Scorpaenichthys","marmoratus","Scorpaenichthys marmoratus","WoRMS","282726"
"437","SMEL","Black Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","melanops","Sebastes melanops","WoRMS","274817"
"440","SMIN","Vermilion Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","miniatus","Sebastes miniatus","WoRMS","274820"
"444","SMYS","Blue Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","mystinus","Sebastes mystinus","WoRMS","274823"
"448","SNEB","China Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","nebulosus","Sebastes nebulosus","WoRMS","274824"
"451","SPAU","Bocaccio","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","paucispinis","Sebastes paucispinis","WoRMS","274833"
"455","SPIN","Canary Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","pinniger","Sebastes pinniger","WoRMS","274836"
"458","SPUL","California Sheephead","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Semicossyphus","pulcher","Semicossyphus pulcher","WoRMS","282753"
"462","SRAS","Grass Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","rastrelliger","Sebastes rastrelliger","WoRMS","274839"
"466","SROS","Rosy Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","rosaceus","Sebastes rosaceus","WoRMS","274841"
"470","SRUB","Flag Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","rubrivinctus","Sebastes rubrivinctus","WoRMS","274845"
"473","SSAG","Pacific Sardine","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sardinops","sagax","Sardinops sagax","WoRMS","217452"
"477","SSAX","Stripetail Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","saxicola","Sebastes saxicola","WoRMS","274848"
"481","SSEM","Halfbanded Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","semicinctus","Sebastes semicinctus","WoRMS","274851"
"485","STICH","Pricklebacks","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Stichaeidae","spp","Stichaeidae","WoRMS","125566"
"488","STRE","Treefish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","serriceps","Sebastes serriceps","WoRMS","274853"
"492","SUMB","Honeycomb Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","umbrosus","Sebastes umbrosus","WoRMS","274862"
"495","SXYR","Rainbow scorpionfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Scorpaenodes","xyris","Scorpaenodes xyris","WoRMS","274756"
"496","SYNG","Pipefish","Animalia","Chordata","Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus","spp","Syngnathus","WoRMS","126227"
"500","SYRI","Manacled Sculpin/Kelp Clingfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes/Gobiesociformes","Cottidae/Gobiesocidae","Synchirus/Rimicola","spp","Synchirus/Rimicola","WoRMS","271019/270760"
"502","TCAL","Pacific Electric Ray","Animalia","Chordata","Elasmobranchii","Torpediniformes","Torpedinidae","Tetronarce","californica","Tetronarce californica","WoRMS","845703"
"506","TPAC","Candlefish, eulachon","Animalia","Chordata","Actinopterygii","Osmeriformes","Osmeridae","Thaleichthys","pacificus","Thaleichthys pacificus","WoRMS","282959"
"507","TSEM","Leopard Shark","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Triakis","semifasciata","Triakis semifasciata","WoRMS","279060"
"511","TSYM","Jack Mackerel","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Trachurus","symmetricus","Trachurus symmetricus","WoRMS","273305"
"515","UHAL","Haller's Round Ray","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urolophus","halleri","Urolophus halleri","WoRMS","315896"
"518","UNID","Unidentified Fish","Animalia","Chordata",NA,NA,NA,NA,NA,"Unidentified Fish","MLPA_kelpforest",NA
"521","URON","Yellowfin drum","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Umbrina","roncador","Umbrina roncador","WoRMS","273802"
"522","USAN","Kelp Gunnel","Animalia","Chordata","Actinopterygii","Perciformes","Pholidae","Ulvicola","sanctaerosae","Ulvicola sanctaerosae","WoRMS","322270"
"524","ZEXA","Banded Guitarfish","Animalia","Chordata","Elasmobranchii","Rajiformes","Rhinobatidae","Zapteryx","exasperata","Zapteryx exasperata","WoRMS","283213"
"527","ZROS","Pink Surfperch","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Zalembius","rosaceus","Zalembius rosaceus","WoRMS","283202"
"531","APOCAL","California Sea Cucumber","Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Apostichopus","californicus","Apostichopus californicus","WoRMS","529363"
"532","APOPAR","Warty Sea Cucumber","Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Apostichopus","parvimensis","Apostichopus parvimensis","WoRMS","529435"
"533","ASTARM","Armored Sand Star","Animalia","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Astropecten","armatus","Astropecten armatus","WoRMS","292851"
"534","ASTSER","Fragile Rainbow Star","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Astrometis","sertulifera","Astrometis sertulifera","WoRMS","255044"
"535","DERIMB","Leather Star","Animalia","Echinodermata","Asteroidea","Valvatida","Asteropseidae","Dermasterias","imbricata","Dermasterias imbricata","WoRMS","240771"
"538","HALCOR","Pink Abalone","Animalia","Mollusca","Gastropoda","Lepetellida","Haliotidae","Haliotis","corrugata","Haliotis corrugata","WoRMS","445308"
"540","HALCRA","Black Abalone","Animalia","Mollusca","Gastropoda","Lepetellida","Haliotidae","Haliotis","cracherodii","Haliotis cracherodii","WoRMS","405012"
"541","HALFUL","Green Abalone","Animalia","Mollusca","Gastropoda","Lepetellida","Haliotidae","Haliotis","fulgens","Haliotis fulgens","WoRMS","445325"
"543","HALKAM","Pinto Abalone","Animalia","Mollusca","Gastropoda","Lepetellida","Haliotidae","Haliotis","kamtschatkana","Haliotis kamtschatkana","WoRMS","405014"
"547","HALRUF","Red Abalone","Animalia","Mollusca","Gastropoda","Lepetellida","Haliotidae","Haliotis","rufescens","Haliotis rufescens","WoRMS","445357"
"551","HALSOR","White Abalone","Animalia","Mollusca","Gastropoda","Lepetellida","Haliotidae","Haliotis","sorenseni","Haliotis sorenseni","WoRMS","445362"
"553","HALSPP","Abalone Spp.","Animalia","Mollusca","Gastropoda","Lepetellida","Haliotidae","Haliotis","spp","Haliotis","WoRMS","138050"
"556","HALWAL","Flat Abalone","Animalia","Mollusca","Gastropoda","Lepetellida","Haliotidae","Haliotis","walallensis","Haliotis walallensis","WoRMS","445374"
"559","HENLEV","Blood Star","Animalia","Echinodermata","Asteroidea","Spinulosida","Echinasteridae","Henricia","leviuscula","Henricia leviuscula","WoRMS","369117"
"562","KELKEL","Kellet's Whelk","Animalia","Mollusca","Gastropoda","Neogastropoda","Buccinidae","Kelletia","kelletii","Kelletia kelletii","WoRMS","491054"
"564","LEPHEX","Six Arm Star","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Leptasterias","hexactis","Leptasterias hexactis","WoRMS","369177"
"566","LINCOL","Fragile Star","Animalia","Echinodermata","Asteroidea","Valvatida","Ophidiasteridae","Linckia","columbiae","Linckia columbiae","WoRMS","378630"
"567","LYTPIC","white urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Toxopneustidae","Lytechinus","pictus","Lytechinus pictus","WoRMS","513378"
"568","MEDAEQ","Red Star","Animalia","Echinodermata","Asteroidea","Valvatida","Goniasteridae","Mediaster","aequalis","Mediaster aequalis","WoRMS","242160"
"570","MEGCRE","Giant Key-Hole Limpet","Animalia","Mollusca","Gastropoda","Lepetellida","Fissurellidae","Megathura","crenulata","Megathura crenulata","WoRMS","527885"
"572","MEGUND","Wavy Turban Snail","Animalia","Mollusca","Gastropoda","Trochida","Turbinidae","Megastraea","undosa","Megastraea undosa","WoRMS","528084"
"574","MESFRA","Red Urchin - all sizes","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Mesocentrotus","franciscanus","Mesocentrotus franciscanus","WoRMS","591102"
"578","ORTKOE","Rainbow Star","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Orthasterias","koehleri","Orthasterias koehleri","WoRMS","255048"
"581","PANINT","Spiny Lobster","Animalia","Arthropoda","Malacostraca","Decapoda","Palinuridae","Panulirus","interruptus","Panulirus interruptus","WoRMS","382898"
"583","PATMIN","Bat Star","Animalia","Echinodermata","Asteroidea","Valvatida","Asterinidae","Patiria","miniata","Patiria miniata","WoRMS","382131"
"585","PISBRE","Short Spined Star","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Pisaster","brevispinus","Pisaster brevispinus","WoRMS","240757"
"588","PISGIG","Giant Spined Star","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Pisaster","giganteus","Pisaster giganteus","WoRMS","240758"
"591","PISOCH","Ochre Star","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Pisaster","ochraceus","Pisaster ochraceus","WoRMS","240755"
"594","PISSPP","Pisaster spp. unidentified","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Pisaster","spp","Pisaster","WoRMS","240754"
"596","POMGIB","Red Turban Snail","Animalia","Mollusca","Gastropoda","Trochida","Turbinidae","Pomaulax","gibberosus","Pomaulax gibberosus","WoRMS","581670"
"597","PYCHEL","Sunflower Star","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Pycnopodia","helianthoides","Pycnopodia helianthoides","WoRMS","240764"
"599","SOLDAW","Dawson'S Sun Star","Animalia","Echinodermata","Asteroidea","Valvatida","Solasteridae","Solaster","dawsoni","Solaster dawsoni","WoRMS","292720"
"600","SOLSPP","Unidentified Sun Star","Animalia","Echinodermata","Asteroidea","Valvatida","Solasteridae","Solaster","spp","Solaster","WoRMS","123338"
"601","SOLSTI","Stimpson'S Sun Star","Animalia","Echinodermata","Asteroidea","Valvatida","Solasteridae","Solaster","stimpsoni","Solaster stimpsoni","WoRMS","292729"
"603","STRPUR","Purple Urchin","Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","purpuratus","Strongylocentrotus purpuratus","WoRMS","240747"
"607","STYFOR","Velcro Star","Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Stylasterias","forreri","Stylasterias forreri","WoRMS","255062"
"609","ALAMAR","Alaria","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Alaria","marginata","Alaria marginata","WoRMS","371791"
"612","COSCOS","Costaria","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Costariaceae","Costaria","costata","Costaria costata","WoRMS","371985"
"615","DESLIG","Acid Weed","Chromista","Ochrophyta","Phaeophyceae","Desmarestiales","Desmarestiaceae","Desmarestia","ligulata","Desmarestia ligulata","WoRMS","145309"
"616","DICSPP","Dictyoneurum","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Costariaceae","Dictyoneurum","californicum/reticulatum","Dictyoneurum californicum/reticulatum","WoRMS","372515/503878"
"618","EGRMEN","Egregia","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Lessoniaceae","Egregia","menziesii","Egregia menziesii","WoRMS","372502"
"620","EISARBAD","Southern Sea Palm","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Lessoniaceae","Eisenia","arborea","Eisenia arborea","WoRMS","371990"
"623","EISARBADSUB","Southern Sea Palm","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Lessoniaceae","Eisenia","arborea","Eisenia arborea","WoRMS","371990"
"625","LAMFAR","Oar Weed","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Laminaria","farlowii","Laminaria farlowii","WoRMS","372698"
"629","LAMSAC","Setchell's Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","latissima","Saccharina latissima","WoRMS","234483"
"630","LAMSETAD","Setchell's Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Laminaria","setchellii","Laminaria setchellii","WoRMS","240748"
"633","LAMSETADSUB","Setchell's Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Laminaria","setchellii","Laminaria setchellii","WoRMS","240748"
"635","LAMSPP","Laminaria","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Laminaria","spp","Laminaria","WoRMS","144199"
"636","LAMSPP","Setchell's Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Laminaria","spp","Laminaria","WoRMS","144199"
"638","LAMSTUMP","Laminareales stump","Chromista","Ochrophyta","Phaeophyceae","Laminariales",NA,"Laminariales","spp","Laminariales","WoRMS","845"
"639","MACPYRAD","Macrocystis","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Macrocystis","pyrifera","Macrocystis pyrifera","WoRMS","232231"
"643","NEOFIM","Sieve/colander kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Agaraceae","Neoagarum","fimbriatum","Neoagarum fimbriatum","WoRMS","1313053"
"647","NERLUE","Nereocystis, bull kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Nereocystis","luetkeana","Nereocystis luetkeana","WoRMS","240752"
"650","PELPOR","Elkhorn Kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Pelagophycus","porra","Pelagophycus porra","WoRMS","372700"
"652","PLEGAR","Pleurophycus","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Pleurophycus","gardneri","Pleurophycus gardneri","WoRMS","372517"
"654","PTECALAD","Pterygophora","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Pterygophora","californica","Pterygophora californica","WoRMS","240750"
"655","PTECALAD","winged kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Pterygophora","californica","Pterygophora californica","WoRMS","240750"
"657","PTECALADSUB","winged kelp","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Pterygophora","californica","Pterygophora californica","WoRMS","240750"
"658","PTECALADSUB","Pterygophora","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Pterygophora","californica","Pterygophora californica","WoRMS","240750"
"659","SACLAT","Sea Belt","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Saccharina","latissima","Saccharina latissima","WoRMS","234483"
"661","SARAGA","Sargassum","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Sargassum","agardhianum","Sargassum agardhianum","WoRMS","494906"
"662","SARHOR","Invasive Sargassum","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Sargassum","horneri","Sargassum horneri","WoRMS","494853"
"663","SARMUT","Sargassum","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Sargassum","muticum","Sargassum muticum","WoRMS","494791"
"664","SARPAL","Sargassum","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Sargassum","palmeri","Sargassum palmeri","WoRMS","494907"
"665","SARSPP","Sargassum","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Sargassum","spp","Sargassum","WoRMS","144132"
"666","STEDIOAD","Fucoid Algae","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Stephanocystis","dioica","Stephanocystis dioica","WoRMS","624317"
"667","STEOSMAD","chain-bladder kelp adult","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Stephanocystis","osmundacea","Stephanocystis osmundacea","WoRMS","502165"
"671","UNDPIN","Undaria","Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria","pinnatifida","Undaria pinnatifida","WoRMS","145721"
"675","ACALUT","Nudibranch","Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris","lutea","Acanthodoris lutea","WoRMS","535686"
"676","ACARHO","Nudibranch","Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris","rhodoceras","Acanthodoris rhodoceras","WoRMS","535687"
"677","ACTBRA","Anemone","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Actinostella","bradleyi","Actinostella bradleyi","WoRMS","410971"
"678","ANEM","Anemone","Animalia","Cnidaria","Anthozoa","Actiniaria",NA,NA,NA,"Actiniaria","WoRMS","1360"
"679","ANTART","Moonglow Anemone","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anthopleura","artemisia","Anthopleura artemisia","WoRMS","283337"
"682","ANTBAR","Nudibranch","Animalia","Mollusca","Gastropoda","Nudibranchia","Janolidae","Antiopella","barbarensis","Antiopella barbarensis","WoRMS","575288"
"683","ANTELE","Aggregating Anemone","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anthopleura","elegantissima","Anthopleura elegantissima","WoRMS","283347"
"685","ANTSOL","Sunburst Anemone","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anthopleura","sola","Anthopleura sola","WoRMS","240753"
"689","ANTSPP","Unidentified Anemone","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anthopleura","spp","Anthopleura","WoRMS","100696"
"692","ANTXAN","Giant Green Anemone","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Anthopleura","xanthogrammica","Anthopleura xanthogrammica","WoRMS","283377"
"696","APAPRI","Nudibranch","Animalia","Mollusca","Gastropoda","Nudibranchia","Flabellinidae","Flabellina","pricei","Apata pricei","WoRMS","1047455"
"697","APLCAL","California Brown Sea Hare","Animalia","Mollusca","Gastropoda","Aplysiida","Aplysiidae","Aplysia","californica","Aplysia californica","WoRMS","240765"
"701","APLVAC","Black Sea Hare","Animalia","Mollusca","Gastropoda","Aplysiida","Aplysiidae","Aplysia","vaccaria","Aplysia vaccaria","WoRMS","568031"
"710","APOSPP","Sea Cucumber","Animalia","Echinodermata","Holothuroidea","Synallactida","Stichopodidae","Apostichopus","spp","Apostichopus","WoRMS","241373"
"712","ARBSTE","black urchin","Animalia","Echinodermata","Echinoidea","Arbacioida","Arbaciidae","Arbacia","stellata","Arbacia stellata","WoRMS","513125"
"718","ASTSPP","Unidentified Seastar","Animalia","Echinodermata","Asteroidea",NA,NA,"Asteroidea","spp","Asteroidea","WoRMS","123080"
"721","ATRIDA","Ida's Miter","Animalia","Mollusca","Gastropoda","Neogastropoda","Mitridae","Atrimitra","idae","Atrimitra idae","WoRMS","1074819"
"722","BALNUB","Barnacle","Animalia","Arthropoda","Hexanauplia","Sessilia","Balanidae","Balanus","nubilus","Balanus nubilus","WoRMS","594745"
"725","BAPMIM","Nudibranch","Animalia","Mollusca","Gastropoda","Nudibranchia","Discodorididae","Baptodoris","mimetica","Baptodoris mimetica","WoRMS","581822"
"726","BERCAL","California berthella","Animalia","Mollusca","Gastropoda","Pleurobranchida","Pleurobranchidae","Berthella","californica","Berthella californica","WoRMS","534374"
"727","CADLFLA","Nudibranch","Animalia","Mollusca","Gastropoda","Nudibranchia","Cadlinidae","Cadlina","flavomaculata","Cadlina flavomaculata","WoRMS","562477"
"728","CADLIM","Nudibranch","Animalia","Mollusca","Gastropoda","Nudibranchia","Cadlinidae","Cadlina","limbaughorum","Cadlina limbaughorum","WoRMS","581803"
"729","CALANN","Purple Ringed Topsnail","Animalia","Mollusca","Gastropoda","Trochida","Calliostomatidae","Calliostoma","annulatum","Calliostoma annulatum","WoRMS","534197"
"730","CALDLUT","Nudibranch","Animalia","Mollusca","Gastropoda","Nudibranchia","Cadlinidae","Cadlina","luteomarginata","Cadlina luteomarginata","WoRMS","562476"
"731","CALSPP","Top Snail","Animalia","Mollusca","Gastropoda","Trochida","Calliostomatidae","Calliostoma","spp","Calliostoma","WoRMS","138584"
"732","CANSPP","Cancer Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae",NA,NA,"Cancridae","WoRMS","106749"
"736","CENCOR","Coronado Urchin, Crowned Urchin","Animalia","Echinodermata","Echinoidea","Diadematoida","Diadematidae","Centrostephanus","coronatus","Centrostephanus coronatus","WoRMS","513165"
"739","CERFOL","Leafy Hornmouth","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Ceratostoma","foliatum","Ceratostoma foliatum","WoRMS","240767"
"742","CERNUT","Nuttall's hornmouth","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Ceratostoma","nuttalli","Ceratostoma nuttalli","WoRMS","403965"
"743","CERPTE","Rock snail","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Ceratostoma/Pteropurpura","spp","Ceratostoma/Pteropurpura","WoRMS","240766/225304"
"744","CRAARB","Grey Tennis Ball Sponge","Animalia","Porifera","Demospongiae","Tetractinellida","Tetillidae","Craniella","arb","Craniella arb","WoRMS","171324"
"747","CRAGIG","Rock Scallop","Animalia","Mollusca","Bivalvia","Pectinida","Pectinidae","Crassadoma","gigantea","Crassadoma gigantea","WoRMS","240774"
"751","CRIALB","White-Spotted Rose Anemone","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Cribrinopsis","albopunctata","Cribrinopsis albopunctata","WoRMS","240769"
"755","CROCAL","California Frog Shell","Animalia","Mollusca","Gastropoda","Littorinimorpha","Bursidae","Crossata","californica","Crossata californica","WoRMS","580701"
"756","CRYSIT","Umbrella Crab","Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Cryptolithodes","sitchensis","Cryptolithodes sitchensis","WoRMS","550616"
"759","CRYSTE","Gumboot Chiton","Animalia","Mollusca","Polyplacophora","Chitonida","Acanthochitonidae","Cryptochiton","stelleri","Cryptochiton stelleri","WoRMS","240776"
"762","CUCMIN","Orange Sea Cucumber","Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Cucumariidae","Cucumaria","miniata","Cucumaria miniata","WoRMS","225807"
"764","CUCSPP","Sea Cucumber (embedded, non-mobile)","Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Cucumariidae","Cucumaria","spp","Cucumaria","WoRMS","123479"
"766","DIASAN","Nudibranch","Animalia","Mollusca","Gastropoda","Nudibranchia","Discodorididae","Diaulula","sandiegensis","Diaulula sandiegensis","WoRMS","536817"
"767","DIOASP","Rough Keyhole Limpet","Animalia","Mollusca","Gastropoda","Lepetellida","Fissurellidae","Diodora","aspera","Diodora aspera","WoRMS","367955"
"769","DIRALB","Nudibranch","Animalia","Mollusca","Gastropoda","Nudibranchia","Dironidae","Dirona","albolineata","Dirona albolineata","WoRMS","581837"
"770","DORALB","Nudibranch","Animalia","Mollusca","Gastropoda","Nudibranchia","Dendrodorididae","Doriopsilla","albopunctata","Doriopsilla albopunctata","WoRMS","537019"
"771","DORMON","Nudibranch","Animalia","Mollusca","Gastropoda","Nudibranchia","Dorididae","Doris","montereyensis","Doris montereyensis","WoRMS","581816"
"772","DORSPA","Nudibranch","Animalia","Mollusca","Gastropoda","Nudibranchia","Dendrodorididae","Doriopsilla","spaldingi","Doriopsilla spaldingi","WoRMS","458417"
"773","ENTDOF","Giant Pacific Octopus","Animalia","Mollusca","Cephalopoda","Octopoda","Enteroctopodidae","Enteroctopus","dofleini","Enteroctopus dofleini","WoRMS","342305"
